epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.25224,0.9685,2.82294,1.4153,0,0,0,0,1.268,2.70732,1.45566,0,0,0
2,10.8142,0.77683,2.47978,1.2564,0,0,0,0,1.27391,2.69807,1.4592,1.61199e-05,1.61199e-05,1.61199e-05
3,14.098,0.9908,2.51842,1.35977,0,0,0,0,1.24849,2.73347,1.42416,3.11396e-05,3.11396e-05,3.11396e-05
4,15.6552,1.22473,3.56013,1.54066,0,0,0,0,1.24892,2.72917,1.42607,4.5059e-05,4.5059e-05,4.5059e-05
5,17.965,1.00115,2.17014,1.54652,0,0,0,0,1.27235,2.70929,1.44322,5.78782e-05,5.78782e-05,5.78782e-05
6,20.1031,1.28747,2.87939,1.6347,0.95095,0.41667,0.41011,0.31742,0.92247,5.0328,1.24393,6.95973e-05,6.95973e-05,6.95973e-05
7,26.2242,1.26136,3.76206,1.74575,0.9544,0.4153,0.40923,0.31556,0.92497,4.85155,1.24508,8.0216e-05,8.0216e-05,8.0216e-05
8,29.4534,0.84763,1.78082,1.34924,0.80983,0.66667,0.75425,0.47292,1.09075,3.0569,1.52871,8.97346e-05,8.97346e-05,8.97346e-05
9,33.0842,1.12058,2.45472,1.51773,0.875,0.625,0.7612,0.48616,1.16694,1.81679,1.48845,9.8153e-05,9.8153e-05,9.8153e-05
10,40.3445,0.96735,2.0616,1.42965,0.4273,0.29167,0.33918,0.22176,1.24761,2.41248,1.52793,0.000105471,0.000105471,0.000105471
11,45.8902,0.77256,1.59784,1.21607,0.90271,0.25,0.31044,0.19532,1.27715,3.57692,1.4842,0.000111689,0.000111689,0.000111689
12,49.5435,0.97745,2.0925,1.35833,0.32922,0.25,0.22863,0.15265,1.40977,4.87736,1.67042,0.000116807,0.000116807,0.000116807
13,55.9784,0.69902,1.6135,1.18991,0.23578,0.375,0.36739,0.21064,1.49195,8.67318,1.7864,0.000120824,0.000120824,0.000120824
14,58.207,0.76194,1.61337,1.35936,0.53571,0.41667,0.2519,0.16959,1.40466,12.5427,1.70982,0.000123741,0.000123741,0.000123741
15,60.332,0.55543,1.10137,1.06346,0.12323,0.16667,0.11443,0.07492,1.63672,16.9727,2.08224,0.000125558,0.000125558,0.000125558
16,64.6544,0.87839,1.31535,1.248,0.25,0.16667,0.12395,0.08093,1.73402,24.7907,2.27437,0.000126275,0.000126275,0.000126275
17,67.3629,0.99504,1.32438,1.34087,0.21429,0.125,0.12916,0.07961,1.71145,19.3057,2.24167,0.000125892,0.000125892,0.000125892
18,69.4284,0.81837,1.3875,1.29208,0.21429,0.125,0.12916,0.07961,1.71145,19.3057,2.24167,0.000124408,0.000124408,0.000124408
19,74.605,0.89717,1.59841,1.39825,0.21429,0.125,0.10863,0.06701,1.80198,27.2217,2.36087,0.000121824,0.000121824,0.000121824
20,80.8179,0.80571,1.49831,1.18494,0.21429,0.125,0.10863,0.06701,1.80198,27.2217,2.36087,0.00011814,0.00011814,0.00011814
21,84.2958,0.63906,1.77025,1.11501,0.1249,0.20833,0.13994,0.10022,1.50847,13.8623,2.00919,0.000113356,0.000113356,0.000113356
22,86.6782,0.52092,1.68457,1.04056,0.1249,0.20833,0.13994,0.10022,1.50847,13.8623,2.00919,0.000107471,0.000107471,0.000107471
23,91.0048,0.66972,1.45565,1.00519,0.27407,0.20833,0.17192,0.12354,1.41715,11.5129,1.8291,0.000100487,0.000100487,0.000100487
24,94.7339,0.60727,1.40118,1.1095,0.27407,0.20833,0.17192,0.12354,1.41715,11.5129,1.8291,9.24018e-05,9.24018e-05,9.24018e-05
25,101.031,0.49113,1.38333,0.97807,0.30265,0.12831,0.20528,0.13845,1.37478,11.5917,1.81083,8.32166e-05,8.32166e-05,8.32166e-05
26,103.215,0.6471,1.61604,1.14646,0.30265,0.12831,0.20528,0.13845,1.37478,11.5917,1.81083,7.29312e-05,7.29312e-05,7.29312e-05
27,105.415,0.58393,1.17861,1.04827,0.3167,0.45833,0.21413,0.15484,1.29961,8.74372,1.94847,6.15456e-05,6.15456e-05,6.15456e-05
28,111.671,0.44651,1.53754,0.92989,0.3167,0.45833,0.21413,0.15484,1.29961,8.74372,1.94847,4.90598e-05,4.90598e-05,4.90598e-05
29,114.407,0.47631,1.33863,0.95354,0.41382,0.45833,0.2734,0.19266,1.28106,5.22467,1.91261,3.54738e-05,3.54738e-05,3.54738e-05
30,116.395,0.56182,1.25301,0.98606,0.41382,0.45833,0.2734,0.19266,1.28106,5.22467,1.91261,2.07875e-05,2.07875e-05,2.07875e-05
